"genre","year","month","count"
"Action & Adventure","1975","4","8"
"Action & Adventure","1975","5","10"
"Action & Adventure","1975","6","10"
"Action & Adventure","1975","7","16"
"Action & Adventure","1975","8","15"
"Action & Adventure","1975","9","13"
"Action & Adventure","1975","10","25"
"Action & Adventure","1975","11","15"
"Action & Adventure","1975","12","14"
"Action & Adventure","1976","1","20"
"Action & Adventure","1976","2","20"
"Action & Adventure","1976","3","20"
"Action & Adventure","1976","4","19"
"Action & Adventure","1976","5","18"
"Action & Adventure","1976","6","14"
"Action & Adventure","1976","7","17"
"Action & Adventure","1976","8","17"
"Action & Adventure","1976","9","17"
"Action & Adventure","1976","10","14"
"Action & Adventure","1976","11","15"
"Action & Adventure","1976","12","12"
"Action & Adventure","1977","1","22"
"Action & Adventure","1977","2","16"
"Action & Adventure","1977","3","17"
"Action & Adventure","1977","4","15"
"Action & Adventure","1977","5","24"
"Action & Adventure","1977","6","18"
"Action & Adventure","1977","7","17"
"Action & Adventure","1977","8","23"
"Action & Adventure","1977","9","20"
"Action & Adventure","1977","10","29"
"Action & Adventure","1977","11","24"
"Action & Adventure","1977","12","24"
"Action & Adventure","1978","1","29"
"Action & Adventure","1978","2","24"
"Action & Adventure","1978","3","28"
"Action & Adventure","1978","4","24"
"Action & Adventure","1978","5","28"
"Action & Adventure","1978","6","29"
"Action & Adventure","1978","7","24"
"Action & Adventure","1978","8","25"
"Action & Adventure","1978","9","28"
"Action & Adventure","1978","10","28"
"Action & Adventure","1978","11","28"
"Action & Adventure","1978","12","26"
"Action & Adventure","1979","1","27"
"Action & Adventure","1979","2","28"
"Action & Adventure","1979","3","34"
"Action & Adventure","1979","4","19"
"Action & Adventure","1979","5","31"
"Action & Adventure","1979","6","22"
"Action & Adventure","1979","7","20"
"Action & Adventure","1979","8","30"
"Action & Adventure","1979","9","28"
"Action & Adventure","1979","10","35"
"Action & Adventure","1979","11","30"
"Action & Adventure","1979","12","34"
"Action & Adventure","1980","1","31"
"Action & Adventure","1980","2","23"
"Action & Adventure","1980","3","39"
"Action & Adventure","1980","4","32"
"Action & Adventure","1980","5","28"
"Action & Adventure","1980","6","39"
"Action & Adventure","1980","7","34"
"Action & Adventure","1980","8","32"
"Action & Adventure","1980","9","38"
"Action & Adventure","1980","10","34"
"Action & Adventure","1980","11","32"
"Action & Adventure","1980","12","35"
"Action & Adventure","1981","1","29"
"Action & Adventure","1981","2","36"
"Action & Adventure","1981","3","34"
"Action & Adventure","1981","4","36"
"Action & Adventure","1981","5","34"
"Action & Adventure","1981","6","42"
"Action & Adventure","1981","7","28"
"Action & Adventure","1981","8","46"
"Action & Adventure","1981","9","39"
"Action & Adventure","1981","10","37"
"Action & Adventure","1981","11","41"
"Action & Adventure","1981","12","49"
"Action & Adventure","1982","1","34"
"Action & Adventure","1982","2","33"
"Action & Adventure","1982","3","37"
"Action & Adventure","1982","4","34"
"Action & Adventure","1982","5","34"
"Action & Adventure","1982","6","37"
"Action & Adventure","1982","7","38"
"Action & Adventure","1982","8","46"
"Action & Adventure","1982","9","40"
"Action & Adventure","1982","10","46"
"Action & Adventure","1982","11","37"
"Action & Adventure","1982","12","47"
"Action & Adventure","1983","1","43"
"Action & Adventure","1983","2","35"
"Action & Adventure","1983","3","47"
"Action & Adventure","1983","4","34"
"Action & Adventure","1983","5","36"
"Action & Adventure","1983","6","40"
"Action & Adventure","1983","7","40"
"Action & Adventure","1983","8","34"
"Action & Adventure","1983","9","57"
"Action & Adventure","1983","10","45"
"Action & Adventure","1983","11","43"
"Action & Adventure","1983","12","60"
"Action & Adventure","1984","1","57"
"Action & Adventure","1984","2","48"
"Action & Adventure","1984","3","33"
"Action & Adventure","1984","4","42"
"Action & Adventure","1984","5","52"
"Action & Adventure","1984","6","34"
"Action & Adventure","1984","7","58"
"Action & Adventure","1984","8","53"
"Action & Adventure","1984","9","45"
"Action & Adventure","1984","10","58"
"Action & Adventure","1984","11","47"
"Action & Adventure","1984","12","51"
"Action & Adventure","1985","1","46"
"Action & Adventure","1985","2","42"
"Action & Adventure","1985","3","52"
"Action & Adventure","1985","4","53"
"Action & Adventure","1985","5","51"
"Action & Adventure","1985","6","51"
"Action & Adventure","1985","7","59"
"Action & Adventure","1985","8","48"
"Action & Adventure","1985","9","60"
"Action & Adventure","1985","10","50"
"Action & Adventure","1985","11","61"
"Action & Adventure","1985","12","53"
"Action & Adventure","1986","1","54"
"Action & Adventure","1986","2","54"
"Action & Adventure","1986","3","46"
"Action & Adventure","1986","4","45"
"Action & Adventure","1986","5","42"
"Action & Adventure","1986","6","47"
"Action & Adventure","1986","7","58"
"Action & Adventure","1986","8","54"
"Action & Adventure","1986","9","60"
"Action & Adventure","1986","10","51"
"Action & Adventure","1986","11","60"
"Action & Adventure","1986","12","56"
"Action & Adventure","1987","1","57"
"Action & Adventure","1987","2","39"
"Action & Adventure","1987","3","69"
"Action & Adventure","1987","4","58"
"Action & Adventure","1987","5","77"
"Action & Adventure","1987","6","53"
"Action & Adventure","1987","7","45"
"Action & Adventure","1987","8","69"
"Action & Adventure","1987","9","51"
"Action & Adventure","1987","10","51"
"Action & Adventure","1987","11","50"
"Action & Adventure","1987","12","51"
"Action & Adventure","1988","1","52"
"Action & Adventure","1988","2","54"
"Action & Adventure","1988","3","59"
"Action & Adventure","1988","4","69"
"Action & Adventure","1988","5","66"
"Action & Adventure","1988","6","60"
"Action & Adventure","1988","7","52"
"Action & Adventure","1988","8","69"
"Action & Adventure","1988","9","62"
"Action & Adventure","1988","10","91"
"Action & Adventure","1988","11","61"
"Action & Adventure","1988","12","67"
"Action & Adventure","1989","1","61"
"Action & Adventure","1989","2","52"
"Action & Adventure","1989","3","64"
"Action & Adventure","1989","4","62"
"Action & Adventure","1989","5","69"
"Action & Adventure","1989","6","72"
"Action & Adventure","1989","7","64"
"Action & Adventure","1989","8","69"
"Action & Adventure","1989","9","57"
"Action & Adventure","1989","10","67"
"Action & Adventure","1989","11","69"
"Action & Adventure","1989","12","59"
"Action & Adventure","1990","1","63"
"Action & Adventure","1990","2","61"
"Action & Adventure","1990","3","82"
"Action & Adventure","1990","4","68"
"Action & Adventure","1990","5","84"
"Action & Adventure","1990","6","83"
"Action & Adventure","1990","7","55"
"Action & Adventure","1990","8","53"
"Action & Adventure","1990","9","70"
"Action & Adventure","1990","10","87"
"Action & Adventure","1990","11","69"
"Action & Adventure","1990","12","65"
"Action & Adventure","1991","1","69"
"Action & Adventure","1991","2","75"
"Action & Adventure","1991","3","87"
"Action & Adventure","1991","4","72"
"Action & Adventure","1991","5","87"
"Action & Adventure","1991","6","64"
"Action & Adventure","1991","7","77"
"Action & Adventure","1991","8","81"
"Action & Adventure","1991","9","64"
"Action & Adventure","1991","10","71"
"Action & Adventure","1991","11","72"
"Action & Adventure","1991","12","83"
"Action & Adventure","1992","1","60"
"Action & Adventure","1992","2","75"
"Action & Adventure","1992","3","89"
"Action & Adventure","1992","4","85"
"Action & Adventure","1992","5","75"
"Action & Adventure","1992","6","72"
"Action & Adventure","1992","7","92"
"Action & Adventure","1992","8","80"
"Action & Adventure","1992","9","71"
"Action & Adventure","1992","10","70"
"Action & Adventure","1992","11","76"
"Action & Adventure","1992","12","70"
"Action & Adventure","1993","1","73"
"Action & Adventure","1993","2","68"
"Action & Adventure","1993","3","91"
"Action & Adventure","1993","4","68"
"Action & Adventure","1993","5","82"
"Action & Adventure","1993","6","92"
"Action & Adventure","1993","7","89"
"Action & Adventure","1993","8","99"
"Action & Adventure","1993","9","109"
"Action & Adventure","1993","10","95"
"Action & Adventure","1993","11","77"
"Action & Adventure","1993","12","89"
"Action & Adventure","1994","1","82"
"Action & Adventure","1994","2","62"
"Action & Adventure","1994","3","76"
"Action & Adventure","1994","4","81"
"Action & Adventure","1994","5","90"
"Action & Adventure","1994","6","85"
"Action & Adventure","1994","7","105"
"Action & Adventure","1994","8","118"
"Action & Adventure","1994","9","92"
"Action & Adventure","1994","10","117"
"Action & Adventure","1994","11","87"
"Action & Adventure","1994","12","86"
"Action & Adventure","1995","1","98"
"Action & Adventure","1995","2","79"
"Action & Adventure","1995","3","100"
"Action & Adventure","1995","4","98"
"Action & Adventure","1995","5","81"
"Action & Adventure","1995","6","90"
"Action & Adventure","1995","7","87"
"Action & Adventure","1995","8","83"
"Action & Adventure","1995","9","88"
"Action & Adventure","1995","10","100"
"Action & Adventure","1995","11","85"
"Action & Adventure","1995","12","114"
"Action & Adventure","1996","1","96"
"Action & Adventure","1996","2","85"
"Action & Adventure","1996","3","95"
"Action & Adventure","1996","4","90"
"Action & Adventure","1996","5","103"
"Action & Adventure","1996","6","99"
"Action & Adventure","1996","7","98"
"Action & Adventure","1996","8","99"
"Action & Adventure","1996","9","95"
"Action & Adventure","1996","10","88"
"Action & Adventure","1996","11","83"
"Action & Adventure","1996","12","106"
"Action & Adventure","1997","1","103"
"Action & Adventure","1997","2","103"
"Action & Adventure","1997","3","100"
"Action & Adventure","1997","4","91"
"Action & Adventure","1997","5","103"
"Action & Adventure","1997","6","107"
"Action & Adventure","1997","7","117"
"Action & Adventure","1997","8","96"
"Action & Adventure","1997","9","104"
"Action & Adventure","1997","10","99"
"Action & Adventure","1997","11","115"
"Action & Adventure","1997","12","108"
"Action & Adventure","1998","1","101"
"Action & Adventure","1998","2","110"
"Action & Adventure","1998","3","118"
"Action & Adventure","1998","4","87"
"Action & Adventure","1998","5","124"
"Action & Adventure","1998","6","109"
"Action & Adventure","1998","7","111"
"Action & Adventure","1998","8","113"
"Action & Adventure","1998","9","122"
"Action & Adventure","1998","10","112"
"Action & Adventure","1998","11","110"
"Action & Adventure","1998","12","104"
"Action & Adventure","1999","1","112"
"Action & Adventure","1999","2","87"
"Action & Adventure","1999","3","144"
"Action & Adventure","1999","4","128"
"Action & Adventure","1999","5","119"
"Action & Adventure","1999","6","125"
"Action & Adventure","1999","7","121"
"Action & Adventure","1999","8","119"
"Action & Adventure","1999","9","121"
"Action & Adventure","1999","10","123"
"Action & Adventure","1999","11","106"
"Action & Adventure","1999","12","111"
"Action & Adventure","2000","1","121"
"Action & Adventure","2000","2","123"
"Action & Adventure","2000","3","111"
"Action & Adventure","2000","4","108"
"Action & Adventure","2000","5","112"
"Action & Adventure","2000","6","123"
"Action & Adventure","2000","7","128"
"Action & Adventure","2000","8","135"
"Action & Adventure","2000","9","120"
"Action & Adventure","2000","10","111"
"Action & Adventure","2000","11","120"
"Action & Adventure","2000","12","141"
"Action & Adventure","2001","1","111"
"Action & Adventure","2001","2","122"
"Action & Adventure","2001","3","130"
"Action & Adventure","2001","4","132"
"Action & Adventure","2001","5","127"
"Action & Adventure","2001","6","105"
"Action & Adventure","2001","7","126"
"Action & Adventure","2001","8","130"
"Action & Adventure","2001","9","92"
"Action & Adventure","2001","10","140"
"Action & Adventure","2001","11","104"
"Action & Adventure","2001","12","116"
"Action & Adventure","2002","1","134"
"Action & Adventure","2002","2","136"
"Action & Adventure","2002","3","155"
"Action & Adventure","2002","4","125"
"Action & Adventure","2002","5","157"
"Action & Adventure","2002","6","126"
"Action & Adventure","2002","7","138"
"Action & Adventure","2002","8","138"
"Action & Adventure","2002","9","133"
"Action & Adventure","2002","10","133"
"Action & Adventure","2002","11","129"
"Action & Adventure","2002","12","156"
"Action & Adventure","2003","1","140"
"Action & Adventure","2003","2","134"
"Action & Adventure","2003","3","151"
"Action & Adventure","2003","4","139"
"Action & Adventure","2003","5","131"
"Action & Adventure","2003","6","141"
"Action & Adventure","2003","7","146"
"Action & Adventure","2003","8","124"
"Action & Adventure","2003","9","157"
"Action & Adventure","2003","10","143"
"Action & Adventure","2003","11","146"
"Action & Adventure","2003","12","143"
"Action & Adventure","2004","1","133"
"Action & Adventure","2004","2","122"
"Action & Adventure","2004","3","145"
"Action & Adventure","2004","4","152"
"Action & Adventure","2004","5","139"
"Action & Adventure","2004","6","145"
"Action & Adventure","2004","7","141"
"Action & Adventure","2004","8","156"
"Action & Adventure","2004","9","144"
"Action & Adventure","2004","10","136"
"Action & Adventure","2004","11","151"
"Action & Adventure","2004","12","148"
"Action & Adventure","2005","1","160"
"Action & Adventure","2005","2","154"
"Action & Adventure","2005","3","157"
"Action & Adventure","2005","4","139"
"Action & Adventure","2005","5","148"
"Action & Adventure","2005","6","139"
"Action & Adventure","2005","7","142"
"Action & Adventure","2005","8","155"
"Action & Adventure","2005","9","140"
"Action & Adventure","2005","10","161"
"Action & Adventure","2005","11","151"
"Action & Adventure","2005","12","152"
"Action & Adventure","2006","1","152"
"Action & Adventure","2006","2","141"
"Action & Adventure","2006","3","166"
"Action & Adventure","2006","4","147"
"Action & Adventure","2006","5","188"
"Action & Adventure","2006","6","143"
"Action & Adventure","2006","7","164"
"Action & Adventure","2006","8","173"
"Action & Adventure","2006","9","178"
"Action & Adventure","2006","10","163"
"Action & Adventure","2006","11","167"
"Action & Adventure","2006","12","149"
"Action & Adventure","2007","1","159"
"Action & Adventure","2007","2","153"
"Action & Adventure","2007","3","150"
"Action & Adventure","2007","4","155"
"Action & Adventure","2007","5","169"
"Action & Adventure","2007","6","151"
"Action & Adventure","2007","7","189"
"Action & Adventure","2007","8","185"
"Action & Adventure","2007","9","154"
"Action & Adventure","2007","10","204"
"Action & Adventure","2007","11","169"
"Action & Adventure","2007","12","172"
"Action & Adventure","2008","1","200"
"Action & Adventure","2008","2","173"
"Action & Adventure","2008","3","188"
"Action & Adventure","2008","4","166"
"Action & Adventure","2008","5","204"
"Action & Adventure","2008","6","152"
"Action & Adventure","2008","7","179"
"Action & Adventure","2008","8","168"
"Action & Adventure","2008","9","148"
"Action & Adventure","2008","10","172"
"Action & Adventure","2008","11","176"
"Action & Adventure","2008","12","190"
"Action & Adventure","2009","1","192"
"Action & Adventure","2009","2","168"
"Action & Adventure","2009","3","187"
"Action & Adventure","2009","4","169"
"Action & Adventure","2009","5","203"
"Action & Adventure","2009","6","174"
"Action & Adventure","2009","7","213"
"Action & Adventure","2009","8","181"
"Action & Adventure","2009","9","182"
"Action & Adventure","2009","10","195"
"Action & Adventure","2009","11","178"
"Action & Adventure","2009","12","220"
"Action & Adventure","2010","1","229"
"Action & Adventure","2010","2","195"
"Action & Adventure","2010","3","202"
"Action & Adventure","2010","4","200"
"Action & Adventure","2010","5","207"
"Action & Adventure","2010","6","182"
"Action & Adventure","2010","7","217"
"Action & Adventure","2010","8","197"
"Action & Adventure","2010","9","174"
"Action & Adventure","2010","10","180"
"Action & Adventure","2010","11","204"
"Action & Adventure","2010","12","184"
"Action & Adventure","2011","1","195"
"Action & Adventure","2011","2","197"
"Action & Adventure","2011","3","222"
"Action & Adventure","2011","4","194"
"Action & Adventure","2011","5","177"
"Action & Adventure","2011","6","201"
"Action & Adventure","2011","7","206"
"Action & Adventure","2011","8","204"
"Action & Adventure","2011","9","207"
"Action & Adventure","2011","10","197"
"Action & Adventure","2011","11","188"
"Action & Adventure","2011","12","218"
"Action & Adventure","2012","1","231"
"Action & Adventure","2012","2","200"
"Action & Adventure","2012","3","220"
"Action & Adventure","2012","4","200"
"Action & Adventure","2012","5","213"
"Action & Adventure","2012","6","188"
"Action & Adventure","2012","7","211"
"Action & Adventure","2012","8","215"
"Action & Adventure","2012","9","209"
"Action & Adventure","2012","10","233"
"Action & Adventure","2012","11","230"
"Action & Adventure","2012","12","237"
"Action & Adventure","2013","1","204"
"Action & Adventure","2013","2","203"
"Action & Adventure","2013","3","235"
"Action & Adventure","2013","4","181"
"Action & Adventure","2013","5","220"
"Action & Adventure","2013","6","216"
"Action & Adventure","2013","7","224"
"Action & Adventure","2013","8","226"
"Action & Adventure","2013","9","215"
"Action & Adventure","2013","10","261"
"Action & Adventure","2013","11","209"
"Action & Adventure","2013","12","234"
"Action & Adventure","2014","1","234"
"Action & Adventure","2014","2","209"
"Action & Adventure","2014","3","227"
"Action & Adventure","2014","4","231"
"Action & Adventure","2014","5","244"
"Action & Adventure","2014","6","229"
"Action & Adventure","2014","7","232"
"Action & Adventure","2014","8","270"
"Action & Adventure","2014","9","223"
"Action & Adventure","2014","10","253"
"Action & Adventure","2014","11","230"
"Action & Adventure","2014","12","222"
"Action & Adventure","2015","1","250"
"Action & Adventure","2015","2","226"
"Action & Adventure","2015","3","271"
"Action & Adventure","2015","4","260"
"Action & Adventure","2015","5","263"
"Action & Adventure","2015","6","248"
"Action & Adventure","2015","7","248"
"Action & Adventure","2015","8","245"
"Action & Adventure","2015","9","252"
"Action & Adventure","2015","10","269"
"Action & Adventure","2015","11","250"
"Action & Adventure","2015","12","275"
"Action & Adventure","2016","1","277"
"Action & Adventure","2016","2","253"
"Action & Adventure","2016","3","268"
"Action & Adventure","2016","4","250"
"Action & Adventure","2016","5","281"
"Action & Adventure","2016","6","257"
"Action & Adventure","2016","7","272"
"Action & Adventure","2016","8","294"
"Action & Adventure","2016","9","243"
"Action & Adventure","2016","10","259"
"Action & Adventure","2016","11","309"
"Action & Adventure","2016","12","266"
"Action & Adventure","2017","1","309"
"Action & Adventure","2017","2","250"
"Action & Adventure","2017","3","305"
"Action & Adventure","2017","4","275"
"Action & Adventure","2017","5","281"
"Action & Adventure","2017","6","258"
"Action & Adventure","2017","7","296"
"Action & Adventure","2017","8","276"
"Action & Adventure","2017","9","256"
"Action & Adventure","2017","10","302"
"Action & Adventure","2017","11","280"
"Action & Adventure","2017","12","305"
"Action & Adventure","2018","1","345"
"Action & Adventure","2018","2","264"
"Action & Adventure","2018","3","306"
"Action & Adventure","2018","4","267"
"Action & Adventure","2018","5","280"
"Action & Adventure","2018","6","310"
"Action & Adventure","2018","7","341"
"Action & Adventure","2018","8","308"
"Action & Adventure","2018","9","336"
"Action & Adventure","2018","10","331"
"Action & Adventure","2018","11","328"
"Action & Adventure","2018","12","297"
"Action & Adventure","2019","1","315"
"Action & Adventure","2019","2","274"
"Action & Adventure","2019","3","294"
"Action & Adventure","2019","4","319"
"Action & Adventure","2019","5","366"
"Action & Adventure","2019","6","338"
"Action & Adventure","2019","7","322"
"Action & Adventure","2019","8","301"
"Action & Adventure","2019","9","332"
"Action & Adventure","2019","10","374"
"Action & Adventure","2019","11","338"
"Action & Adventure","2019","12","367"
"Action & Adventure","2020","1","377"
"Action & Adventure","2020","2","359"
"Action & Adventure","2020","3","375"
"Action & Adventure","2020","4","358"
"Action & Adventure","2020","5","384"
"Action & Adventure","2020","6","390"
"Action & Adventure","2020","7","351"
"Action & Adventure","2020","8","371"
"Action & Adventure","2020","9","361"
"Action & Adventure","2020","10","400"
"Action & Adventure","2020","11","388"
"Action & Adventure","2020","12","423"
"Action & Adventure","2021","1","342"
"Action & Adventure","2021","2","367"
"Action & Adventure","2021","3","380"
"Action & Adventure","2021","4","405"
"Action & Adventure","2021","5","389"
"Action & Adventure","2021","6","359"
"Action & Adventure","2021","7","392"
"Action & Adventure","2021","8","438"
"Action & Adventure","2021","9","382"
"Action & Adventure","2021","10","452"
"Action & Adventure","2021","11","422"
"Action & Adventure","2021","12","418"
"Action & Adventure","2022","1","417"
"Action & Adventure","2022","2","413"
"Action & Adventure","2022","3","420"
"Action & Adventure","2022","4","460"
"Action & Adventure","2022","5","428"
"Action & Adventure","2022","6","434"
"Action & Adventure","2022","7","462"
"Action & Adventure","2022","8","451"
"Action & Adventure","2022","9","433"
"Action & Adventure","2022","10","478"
"Action & Adventure","2022","11","445"
"Action & Adventure","2022","12","486"
"Action & Adventure","2023","1","449"
"Action & Adventure","2023","2","458"
"Action & Adventure","2023","3","484"
"Action & Adventure","2023","4","495"
"Action & Adventure","2023","5","506"
"Action & Adventure","2023","6","499"
"Action & Adventure","2023","7","522"
"Action & Adventure","2023","8","526"
"Action & Adventure","2023","9","498"
"Action & Adventure","2023","10","580"
"Action & Adventure","2023","11","604"
"Action & Adventure","2023","12","554"
"Action & Adventure","2024","1","582"
"Action & Adventure","2024","2","576"
"Action & Adventure","2024","3","617"
"Action & Adventure","2024","4","587"
"Action & Adventure","2024","5","649"
"Action & Adventure","2024","6","651"
"Action & Adventure","2024","7","657"
"Action & Adventure","2024","8","693"
"Action & Adventure","2024","9","711"
"Action & Adventure","2024","10","744"
"Action & Adventure","2024","11","812"
"Action & Adventure","2024","12","853"
"Action & Adventure","2025","1","928"
"Action & Adventure","2025","2","907"
"Anime Features","1970","2","0"
"Anime Features","1970","3","0"
"Anime Features","1970","4","0"
"Anime Features","1970","5","0"
"Anime Features","1970","6","0"
"Anime Features","1970","7","0"
"Anime Features","1970","8","0"
"Anime Features","1970","9","0"
"Anime Features","1970","10","0"
"Anime Features","1970","11","0"
"Anime Features","1970","12","0"
"Anime Features","1971","1","0"
"Anime Features","1971","2","0"
"Anime Features","1971","3","0"
"Anime Features","1971","4","1"
"Anime Features","1971","5","0"
"Anime Features","1971","6","0"
"Anime Features","1971","7","0"
"Anime Features","1971","8","1"
"Anime Features","1971","9","0"
"Anime Features","1971","10","0"
"Anime Features","1971","11","0"
"Anime Features","1971","12","1"
"Anime Features","1972","1","0"
"Anime Features","1972","2","0"
"Anime Features","1972","3","2"
"Anime Features","1972","4","0"
"Anime Features","1972","5","1"
"Anime Features","1972","6","0"
"Anime Features","1972","7","1"
"Anime Features","1972","8","0"
"Anime Features","1972","9","0"
"Anime Features","1972","10","1"
"Anime Features","1972","11","1"
"Anime Features","1972","12","1"
"Anime Features","1973","1","0"
"Anime Features","1973","2","0"
"Anime Features","1973","3","1"
"Anime Features","1973","4","0"
"Anime Features","1973","5","0"
"Anime Features","1973","6","1"
"Anime Features","1973","7","2"
"Anime Features","1973","8","1"
"Anime Features","1973","9","1"
"Anime Features","1973","10","2"
"Anime Features","1973","11","1"
"Anime Features","1973","12","2"
"Anime Features","1974","1","1"
"Anime Features","1974","2","0"
"Anime Features","1974","3","3"
"Anime Features","1974","4","1"
"Anime Features","1974","5","2"
"Anime Features","1974","6","1"
"Anime Features","1974","7","1"
"Anime Features","1974","8","1"
"Anime Features","1974","9","0"
"Anime Features","1974","10","1"
"Anime Features","1974","11","1"
"Anime Features","1974","12","1"
"Anime Features","1975","1","1"
"Anime Features","1975","2","1"
"Anime Features","1975","3","1"
"Anime Features","1975","4","1"
"Anime Features","1975","5","1"
"Anime Features","1975","6","1"
"Anime Features","1975","7","1"
"Anime Features","1975","8","1"
"Anime Features","1975","9","1"
"Anime Features","1975","10","3"
"Anime Features","1975","11","2"
"Anime Features","1975","12","2"
"Anime Features","1976","1","2"
"Anime Features","1976","2","0"
"Anime Features","1976","3","0"
"Anime Features","1976","4","2"
"Anime Features","1976","5","2"
"Anime Features","1976","6","2"
"Anime Features","1976","7","1"
"Anime Features","1976","8","6"
"Anime Features","1976","9","0"
"Anime Features","1976","10","0"
"Anime Features","1976","11","2"
"Anime Features","1976","12","0"
"Anime Features","1977","1","2"
"Anime Features","1977","2","1"
"Anime Features","1977","3","3"
"Anime Features","1977","4","2"
"Anime Features","1977","5","3"
"Anime Features","1977","6","1"
"Anime Features","1977","7","1"
"Anime Features","1977","8","1"
"Anime Features","1977","9","2"
"Anime Features","1977","10","2"
"Anime Features","1977","11","3"
"Anime Features","1977","12","0"
"Anime Features","1978","1","1"
"Anime Features","1978","2","4"
"Anime Features","1978","3","1"
"Anime Features","1978","4","3"
"Anime Features","1978","5","2"
"Anime Features","1978","6","4"
"Anime Features","1978","7","2"
"Anime Features","1978","8","0"
"Anime Features","1978","9","2"
"Anime Features","1978","10","1"
"Anime Features","1978","11","5"
"Anime Features","1978","12","3"
"Anime Features","1979","1","1"
"Anime Features","1979","2","0"
"Anime Features","1979","3","2"
"Anime Features","1979","4","0"
"Anime Features","1979","5","2"
"Anime Features","1979","6","2"
"Anime Features","1979","7","5"
"Anime Features","1979","8","5"
"Anime Features","1979","9","1"
"Anime Features","1979","10","2"
"Anime Features","1979","11","4"
"Anime Features","1979","12","0"
"Anime Features","1980","1","1"
"Anime Features","1980","2","2"
"Anime Features","1980","3","2"
"Anime Features","1980","4","3"
"Anime Features","1980","5","4"
"Anime Features","1980","6","5"
"Anime Features","1980","7","6"
"Anime Features","1980","8","2"
"Anime Features","1980","9","3"
"Anime Features","1980","10","1"
"Anime Features","1980","11","2"
"Anime Features","1980","12","4"
"Anime Features","1981","1","3"
"Anime Features","1981","2","5"
"Anime Features","1981","3","4"
"Anime Features","1981","4","3"
"Anime Features","1981","5","5"
"Anime Features","1981","6","4"
"Anime Features","1981","7","2"
"Anime Features","1981","8","3"
"Anime Features","1981","9","1"
"Anime Features","1981","10","4"
"Anime Features","1981","11","2"
"Anime Features","1981","12","4"
"Anime Features","1982","1","0"
"Anime Features","1982","2","4"
"Anime Features","1982","3","4"
"Anime Features","1982","4","3"
"Anime Features","1982","5","3"
"Anime Features","1982","6","2"
"Anime Features","1982","7","6"
"Anime Features","1982","8","5"
"Anime Features","1982","9","3"
"Anime Features","1982","10","2"
"Anime Features","1982","11","2"
"Anime Features","1982","12","1"
"Anime Features","1983","1","2"
"Anime Features","1983","2","5"
"Anime Features","1983","3","1"
"Anime Features","1983","4","4"
"Anime Features","1983","5","3"
"Anime Features","1983","6","6"
"Anime Features","1983","7","2"
"Anime Features","1983","8","1"
"Anime Features","1983","9","2"
"Anime Features","1983","10","3"
"Anime Features","1983","11","2"
"Anime Features","1983","12","5"
"Anime Features","1984","1","4"
"Anime Features","1984","2","2"
"Anime Features","1984","3","5"
"Anime Features","1984","4","4"
"Anime Features","1984","5","3"
"Anime Features","1984","6","2"
"Anime Features","1984","7","3"
"Anime Features","1984","8","2"
"Anime Features","1984","9","2"
"Anime Features","1984","10","6"
"Anime Features","1984","11","2"
"Anime Features","1984","12","2"
"Anime Features","1985","1","8"
"Anime Features","1985","2","5"
"Anime Features","1985","3","5"
